# {"t_start": 1568036757.2229385, "env_id": "Pendulum-v0"} 
obnow,action,obnext,reward
[3.38139561e-01 6.02606387e-06],[-1.6586623],[9.43373466e-01 3.31732579e-01 6.02606387e-06],-0.11708931997212356
[ 6.55849057e+00 -2.94905316e-06],[-1.3592052],[ 9.62342259e-01  2.71840718e-01 -2.94905316e-06],-0.07764050850499264
[2.79621894e-01 2.90199078e-06],[-1.3799603],[9.61159861e-01 2.75992248e-01 2.90199078e-06],-0.08009261262636397
[-5.97266746e+00  1.74712868e-06],[-1.5277579],[9.52175467e-01 3.05551763e-01 1.74712868e-06],-0.09875532605716546
[3.54784860e-01 7.94742276e-06],[-1.7369413],[9.37721248e-01 3.47388632e-01 7.94742276e-06],-0.12888898028983553
[3.07170560e-01 4.85997318e-06],[-1.511813],[9.53192902e-01 3.02362848e-01 4.85997318e-06],-0.09663918241389534
[-5.96121584e+00  4.35657230e-06],[-1.5821762],[9.48614050e-01 3.16435435e-01 4.35657230e-06],-0.10616747752762493
[0.46112946 0.17237733],[-1.9991478],[0.8955505  0.44495988 0.17237733],-0.21084557019884487
[3.18603085e-01 4.52178137e-06],[-1.5662005],[9.49673915e-01 3.13240253e-01 4.52178137e-06],-0.10396076547833043
[6.61307445e+00 2.56244860e-06],[-1.6196904],[9.46078260e-01 3.23938153e-01 2.56244860e-06],-0.11145016026836964
[12.98654806  0.17697753],[-1.9855678],[0.91301657 0.40792247 0.17697753],-0.17619414529460609
[3.52138220e-01 1.36580427e-05],[-1.7245249],[9.38637375e-01 3.44905607e-01 1.36580427e-05],-0.12697483067963544
[6.59749134e+00 1.94564490e-06],[-1.5457823],[9.51011151e-01 3.09156580e-01 1.94564490e-06],-0.10117766697972708
[ 6.55267277e+00 -3.28950396e-06],[-1.3311875],[ 9.63907480e-01  2.66237432e-01 -3.28950396e-06],-0.0743956407262277
[6.60742041e+00 3.39354792e-06],[-1.592918],[9.47894689e-01 3.18583834e-01 3.39354792e-06],-0.10766567741666053
[3.09722782e-01 4.98868666e-06],[-1.5239717],[9.52418101e-01 3.04794621e-01 4.98868666e-06],-0.09825053675154426
[ 2.86896605e-01 -1.47517351e-06],[-1.4148859],[ 9.59126682e-01  2.82977044e-01 -1.47517351e-06],-0.08431160635018149
[ 2.18085478e-01 -4.30494648e-07],[-1.0818045],[ 9.76313466e-01  2.16360847e-01 -4.30494648e-07],-0.048731586006890405
[6.61917230e+00 5.36877607e-06],[-1.6485054],[9.44085357e-01 3.29701136e-01 5.36877607e-06],-0.11560464929455104
[13.05556945  0.27103585],[-1.9998239],[0.88270962 0.46991884 0.27103585],-0.23541840335579028
[ 2.4255763e-01 -3.2762813e-06],[-1.2009325],[ 9.70726843e-01  2.40186169e-01 -3.27628130e-06],-0.06027652206343052
[3.46528404e-01 7.63321863e-06],[-1.698171],[9.40557453e-01 3.39634625e-01 7.63321863e-06],-0.12296545482514996
[ 6.53057356e+00 -8.37473906e-06],[-1.2243643],[ 9.69555272e-01  2.44872567e-01 -8.37473906e-06],-0.0627002244601845
[2.86733424e-01 2.67789362e-06],[-1.4141017],[9.59172846e-01 2.82820529e-01 2.67789362e-06],-0.08421566327413685
[3.01826850e-01 9.13900705e-07],[-1.486325],[9.54795024e-01 2.97264969e-01 9.13900705e-07],-0.09330858166154384
[-5.92909882e+00  9.62506736e-06],[-1.7336661],[9.37963627e-01 3.46733665e-01 9.62506736e-06],-0.12838249549983827
[-5.97016754e+00  9.33429433e-07],[-1.5396565],[9.51408639e-01 3.07931165e-01 9.33429433e-07],-0.10035063624152774
[6.61865357e+00 6.82086599e-06],[-1.6460551],[9.44256256e-01 3.29211366e-01 6.82086599e-06],-0.11524822387940623
[3.23306978e-01 4.79761370e-06],[-1.5885186],[9.48189965e-01 3.17703936e-01 4.79761370e-06],-0.10705063852523511
[ 6.56919584e+00 -1.43976843e-06],[-1.4106357],[ 9.59377043e-01  2.82127079e-01 -1.43976843e-06],-0.08379196005625517
[ 2.68606000e-01 -4.44593266e-06],[-1.326939],[ 9.64141783e-01  2.65387681e-01 -4.44593266e-06],-0.07391006977981354
[ 2.71678005e-01 -2.19806499e-07],[-1.3417422],[ 9.63321963e-01  2.68348273e-01 -2.19806499e-07],-0.07560921651733132
[5.84149489 0.90095723],[0.56679726],[ 0.90403035 -0.42746827  0.90095723],-0.37336520948052
[-6.01379018e+00  9.90597132e-07],[-1.3307431],[9.63932058e-01 2.66148431e-01 9.90597132e-07],-0.07434458626917213
[6.61344360e+00 5.59531252e-06],[-1.6214354],[9.45958614e-01 3.24287374e-01 5.59531252e-06],-0.11169940842150161
[-6.00493470e+00 -1.24245733e-06],[-1.3733692],[ 9.61537421e-01  2.74673968e-01 -1.24245733e-06],-0.07930958071409723
[-5.96646559e+00  4.29920813e-06],[-1.557254],[9.50262177e-01 3.11451113e-01 4.29920813e-06],-0.10273628270256628
[3.68992026e-01 1.81719249e-05],[-1.8033752],[9.32691371e-01 3.60675486e-01 1.81719249e-05],-0.1394066068051196
[6.62258586e+00 6.23831964e-06],[-1.6646087],[9.42954403e-01 3.32921904e-01 6.23831964e-06],-0.11796344816085724
[12.27439477  0.43519244],[1.6293144],[ 0.95767701 -0.28784501  0.43519244],-0.11891459982413262
[ 2.73760311e-01 -2.99233660e-06],[-1.3517672],[ 9.62761092e-01  2.70353621e-01 -2.99233660e-06],-0.07677206424026403
[6.61012811e+00 1.96301622e-06],[-1.6057465],[9.47028584e-01 3.21149282e-01 1.96301622e-06],-0.10946995489955529
[6.62029621e+00 6.25613588e-06],[-1.6538095],[9.43714208e-01 3.30761990e-01 6.25613588e-06],-0.1163786330059283
[6.62409996e+00 7.58610007e-06],[-1.6717445],[9.42449247e-01 3.34349245e-01 7.58610007e-06],-0.11901727081974746
[-5.97245221e+00  1.87986684e-06],[-1.5287845],[9.52109677e-01 3.05756705e-01 1.87986684e-06],-0.09889218006989794
[ 6.55708105e+00 -1.70930581e-06],[-1.3524215],[ 9.62724470e-01  2.70484003e-01 -1.70930581e-06],-0.07684796641941727
[ 6.52229045e+00 -2.56535293e-06],[-1.1841663],[ 9.71550296e-01  2.36833322e-01 -2.56535293e-06],-0.05857358046162311
[ 2.61876180e-01 -2.79016974e-07],[-1.2944653],[ 9.65905948e-01  2.58893220e-01 -2.79016974e-07],-0.07025478139574919
[-6.03576681e+00 -1.27012902e-06],[-1.2245083],[ 9.69547867e-01  2.44901884e-01 -1.27012902e-06],-0.06271536300720891
[3.28107658e-01 3.29455369e-06],[-1.6112596],[9.46653850e-01 3.22252213e-01 3.29455369e-06],-0.11025068440148525
[ 2.86036941e-01 -1.74332544e-06],[-1.4107643],[ 9.59369593e-01  2.82152413e-01 -1.74332544e-06],-0.08380743759470426
[-6.00115362e+00  1.13630246e-06],[-1.3915395],[9.60491987e-01 2.78307641e-01 1.13630246e-06],-0.08147822255835063
[3.26693165e-01 5.89474284e-06],[-1.6045631],[9.47108726e-01 3.20912857e-01 5.89474284e-06],-0.10930285457039969
[-5.96362893e+00  3.36412515e-06],[-1.5707264],[9.49374875e-01 3.14145423e-01 3.36412515e-06],-0.1045833490529777
[ 2.75506013e-01 -2.36182020e-06],[-1.360169],[ 9.62287668e-01  2.72033902e-01 -2.36182020e-06],-0.07775368800083941
[6.50230695e+00 1.29560850e-06],[-1.0868592],[9.76088757e-01 2.17372350e-01 1.29560850e-06],-0.049195527877856145
[3.53951751e-01 1.24217845e-05],[-1.7330339],[9.38010335e-01 3.46607287e-01 1.24217845e-05],-0.12828480874596612
[3.25629892e-01 3.63846136e-06],[-1.5995271],[9.47449408e-01 3.19905640e-01 3.63846136e-06],-0.10859319537907422
[6.57444648e+00 4.25334205e-07],[-1.4358022],[9.57882477e-01 2.87160512e-01 4.25334205e-07],-0.08689458844697669
[-5.95501947e+00  4.38122401e-06],[-1.6115353],[9.46635101e-01 3.22307284e-01 4.38122401e-06],-0.11028971595230457
[6.5600665e+00 2.5641383e-07],[-1.3667839],[9.61912664e-01 2.73356959e-01 2.56413830e-07],-0.07853128393356448
[ 2.57795275e-01 -1.90125086e-06],[-1.2747477],[ 9.66954421e-01  2.54949304e-01 -1.90125086e-06],-0.06808343441058073
[3.28942171e-01 1.52144303e-06],[-1.615211],[9.46384596e-01 3.23042096e-01 1.52144303e-06],-0.11081180811261682
[ 6.47157276e+00 -4.72189472e-07],[-0.9363766],[ 9.82307502e-01  1.87275121e-01 -4.72189472e-07],-0.03636664217434527
[ 2.90273348e-01 -7.20059923e-07],[-1.4310713],[ 9.58165675e-01  2.86214149e-01 -7.20059923e-07],-0.08630660269527379
[-6.08384799e+00 -1.12839601e-06],[-0.99009836],[ 9.80198016e-01  1.98019819e-01 -1.12839601e-06],-0.04071568515143884
[ 6.57413931e+00 -4.74860200e-07],[-1.4343309],[ 9.57970641e-01  2.86866261e-01 -4.74860200e-07],-0.08671155021672056
[ 2.77368805e-01 -1.64352067e-06],[-1.3691307],[ 9.61779256e-01  2.73825970e-01 -1.64352067e-06],-0.07880801841767139
[-6.00371718e+00 -1.48737154e-06],[-1.3792231],[ 9.61202288e-01  2.75844451e-01 -1.48737154e-06],-0.08000473247410896
[12.78833301  0.44252091],[-1.3451599],[0.97546732 0.2201443  0.44252091],-0.06628744553711718
[3.16259710e-01 4.82088116e-06],[-1.5550692],[9.50405346e-01 3.11013953e-01 4.82088116e-06],-0.10243829195457912
[6.63978632e+00 7.45348446e-06],[-1.7454538],[9.37088790e-01 3.49091106e-01 7.45348446e-06],-0.13021062788117965
[-5.99351156e+00 -1.78554845e-06],[-1.4281996],[ 9.58337118e-01  2.85639579e-01 -1.78554845e-06],-0.08595068500770593
[3.09645222e-01 2.90171297e-06],[-1.5236017],[9.52441738e-01 3.04720750e-01 2.90171297e-06],-0.09820143539271292
[3.3044441e-01 7.7558827e-06],[-1.6223159],[9.45898242e-01 3.24463427e-01 7.75588270e-06],-0.11182516078181806
[3.36794525e-01 6.93940614e-06],[-1.652316],[9.43818805e-01 3.30463408e-01 6.93940614e-06],-0.1161604667593694
[6.57817027e+00 2.55756252e-06],[-1.4536264],[9.56806513e-01 2.90725466e-01 2.55756252e-06],-0.08912908444200351
[-6.03383070e+00 -3.84608745e-06],[-1.2338932],[ 9.69071892e-01  2.46778582e-01 -3.84608745e-06],-0.06370030998132804
[6.62935246e+00 7.09032807e-06],[-1.6964725],[9.40680084e-01 3.39294826e-01 7.09032807e-06],-0.12270947161497905
[-6.01140021e+00 -8.88417551e-07],[-1.3422592],[ 9.63293219e-01  2.68451439e-01 -8.88417551e-07],-0.07566882477806376
[ 2.62155477e-01 -4.81746595e-06],[-1.2958169],[ 9.65833602e-01  2.59162984e-01 -4.81746595e-06],-0.07040476185364831
[3.48224491e-01 9.40661296e-06],[-1.7061448],[9.39980050e-01 3.41229403e-01 9.40661296e-06],-0.12417089887785178
[ 6.57105921e+00 -6.68886944e-07],[-1.4195716],[ 9.58849672e-01  2.83914260e-01 -6.68886944e-07],-0.08488658629953007
[-5.95632004e+00  5.37747502e-06],[-1.6053772],[9.47053480e-01 3.21075856e-01 5.37747502e-06],-0.10941796620884925
[3.22544096e-01 3.26974909e-06],[-1.5849013],[9.48432060e-01 3.16980486e-01 3.26974909e-06],-0.10654650055056927
[2.88553375e-01 4.38273116e-07],[-1.4228283],[9.58656538e-01 2.84565707e-01 4.38273116e-07],-0.08528747802628629
[3.22425589e-01 5.00234731e-06],[-1.5843384],[9.48469617e-01 3.16868088e-01 5.00234731e-06],-0.1064682277071184
[6.57821306e+00 1.91262807e-06],[-1.4538314],[9.56794073e-01 2.90766403e-01 1.91262807e-06],-0.08915494377408756
[19.31777698  0.33446588],[-1.9997978],[0.89237254 0.45129952 0.33446588],-0.21728662020313513
[6.56683815e+00 2.31007533e-06],[-1.3993235],[9.60039545e-01 2.79864383e-01 2.31007533e-06],-0.0824169765884258
[11.58737822  3.03004378],[1.4915192],[ 0.55785908 -0.82993569  3.03004378],-2.4946140460443975
[ 6.53896809e+00 -2.02298675e-06],[-1.2650137],[ 9.67465547e-01  2.53002799e-01 -2.02298675e-06],-0.06702514188536811
[6.61080724e+00 3.71774898e-06],[-1.6089612],[9.46810265e-01 3.21792357e-01 3.71774898e-06],-0.1099247621267529
[3.17720544e-01 3.61957600e-06],[-1.5620092],[9.49949992e-01 3.12402005e-01 3.61957600e-06],-0.10338610216487755
[-5.92227323e+00  1.25052165e-05],[-1.7656356],[9.35575134e-01 3.53127693e-01 1.25052165e-05],-0.13337454258043993
[-5.95667362e+00  5.79555194e-06],[-1.6037035],[9.47166949e-01 3.20740970e-01 5.79555194e-06],-0.10918155638245457
[2.69497385e-01 2.01260020e-08],[-1.3312356],[9.63904838e-01 2.66246997e-01 2.01260020e-08],-0.07440102843204566
[6.59277232e+00 2.57145338e-06],[-1.5233251],[9.52459473e-01 3.04665313e-01 2.57145338e-06],-0.09816456092002088
[-5.98825237e+00 -7.17207535e-07],[-1.4533799],[ 9.56821639e-01  2.90675681e-01 -7.17207535e-07],-0.08909776978539201
[-5.94620727e+00  6.75163687e-06],[-1.6531817],[9.43758143e-01 3.30636608e-01 6.75163687e-06],-0.11628698250670166
[-6.04748814e+00 -3.19082100e-06],[-1.1676047],[ 9.72351775e-01  2.33520931e-01 -3.19082100e-06],-0.056916529133172654
[3.19533476e-01 3.17980278e-06],[-1.5706185],[9.49382068e-01 3.14123685e-01 3.17980278e-06],-0.10456838288714385
[ 2.79361351e-01 -4.37023168e-07],[-1.3787088],[ 9.61231736e-01  2.75741816e-01 -4.37023168e-07],-0.07994361495818428
[2.76606390e-01 2.42799038e-07],[-1.3654628],[9.61987746e-01 2.73092616e-01 2.42799038e-07],-0.0783755768044781
[6.59768543e+00 2.68872639e-06],[-1.5467045],[9.50951130e-01 3.09341151e-01 2.68872639e-06],-0.10130253774419687
[3.26718117e-01 5.73770184e-06],[-1.6046797],[9.47100718e-01 3.20936488e-01 5.73770184e-06],-0.10931953736976983
[6.60477901e+00 3.06457744e-06],[-1.5803943],[9.48732887e-01 3.16078959e-01 3.06457744e-06],-0.10592005680046732
[6.62619156e+00 6.26462788e-06],[-1.6815978],[9.41747859e-01 3.36319743e-01 6.26462788e-06],-0.12048084784915895
[6.61379499e+00 4.64275337e-06],[-1.6230975],[9.45844604e-01 3.24619755e-01 4.64275337e-06],-0.11193705560399878
[ 2.57951434e-01 -4.88863717e-06],[-1.2755024],[ 9.66914596e-01  2.55100300e-01 -4.88863717e-06],-0.06816597497908103
[3.24701374e-01 4.72849357e-06],[-1.5951293],[9.47746038e-01 3.19025778e-01 4.72849357e-06],-0.10797526593459902
[6.59817649e+00 1.81358337e-06],[-1.5490394],[9.50799111e-01 3.09808086e-01 1.81358337e-06],-0.1016189099553519
[3.11418250e-01 2.01969714e-06],[-1.5320442],[9.51899963e-01 3.06408976e-01 2.01969714e-06],-0.09932842282667467
[-5.97337267e+00  2.05739417e-06],[-1.5244014],[9.52390710e-01 3.04880199e-01 2.05739417e-06],-0.09830760592192529
[-6.01823978e+00 -3.13188154e-06],[-1.3092848],[ 9.65106766e-01  2.61856699e-01 -3.13188154e-06],-0.0719104435175564
[-5.95399905e+00  5.55928940e-06],[-1.6163645],[9.46305719e-01 3.23273082e-01 5.55928940e-06],-0.1109760403039356
[3.15045784e-01 3.45457800e-06],[-1.5493001],[9.50782193e-01 3.09860002e-01 3.45457800e-06],-0.10165406775526421
[-5.94554928e+00  6.28079018e-06],[-1.6562858],[9.43540384e-01 3.31257520e-01 6.28079018e-06],-0.11674115995876179
[2.88901975e-01 6.91719301e-07],[-1.4244982],[9.58557280e-01 2.84899877e-01 6.91719301e-07],-0.08549352630896172
[18.8252176   1.32877088],[1.889463],[ 0.99970384 -0.02433592  1.32877088],-0.1357632454027006
[6.64360865e+00 1.07804438e-05],[-1.7633493],[9.35747608e-01 3.52670405e-01 1.07804438e-05],-0.13301399684223966
[3.09113489e-01 2.40755116e-07],[-1.5210706],[9.52603633e-01 3.04214263e-01 2.40755116e-07],-0.09786479750039825
[3.00672844e-01 2.58406948e-06],[-1.4808143],[9.55137434e-01 2.96162933e-01 2.58406948e-06],-0.0925968927996883
[2.92405615e-01 2.01551033e-07],[-1.4412837],[9.57553212e-01 2.88256562e-01 2.01551033e-07],-0.08757833663499846
[2.88463253e-01 9.78361334e-07],[-1.4223962],[9.58682180e-01 2.84479309e-01 9.78361334e-07],-0.08523423085510398
[-5.95614453e+00  4.34580999e-06],[-1.60621],[9.46997114e-01 3.21242066e-01 4.34580999e-06],-0.10953544025175682
[-5.99570088e+00  3.33466836e-07],[-1.417704],[9.58960177e-01 2.83540787e-01 3.33466836e-07],-0.08465716881689034
[-5.98024639e+00  1.60695461e-06],[-1.4916316],[9.54463855e-01 2.98326582e-01 1.60695461e-06],-0.09399690440890947
[12.47136971  1.19078851],[1.9971769],[ 0.99549081 -0.09485807  1.19078851],-0.12920714162671698
[2.84170174e-01 1.24479969e-06],[-1.4018047],[9.59894634e-01 2.80361002e-01 1.24479969e-06],-0.08271770853999787
[6.58730802e+00 3.67521130e-06],[-1.4972804],[9.54110028e-01 2.99456266e-01 3.67521130e-06],-0.0947323636174682
[4.91400528 3.92345834],[0.9436651],[ 0.20025316 -0.97974419  3.92345834],-4.505029795876067
[3.54571332e-01 1.13695586e-05],[-1.7359391],[9.37795404e-01 3.47188394e-01 1.13695586e-05],-0.12873391089959438
[6.58187375e+00 2.10479269e-06],[-1.471335],[9.55723260e-01 2.94266971e-01 2.10479269e-06],-0.09137954787976904
[ 6.56054900e+00 -5.47277103e-08],[-1.369106],[ 9.61780656e-01  2.73821053e-01 -5.47277103e-08],-0.0788050703141485
[6.62603134e+00 8.06934250e-06],[-1.6808425],[9.41801734e-01 3.36168847e-01 8.06934250e-06],-0.1203683556959447
[6.57576860e+00 1.44263135e-07],[-1.4421338],[9.57501981e-01 2.88426691e-01 1.44263135e-07],-0.08768472761059475
[-5.95060024e+00  4.54518181e-06],[-1.6324363],[9.45201512e-01 3.26487522e-01 4.54518181e-06],-0.11327752086031072
[6.59659087e+00 1.55708191e-06],[-1.5415003],[9.51289152e-01 3.08300096e-01 1.55708191e-06],-0.10059922322682488
[-5.95597702e+00  4.14354047e-06],[-1.6070023],[9.46943292e-01 3.21400687e-01 4.14354047e-06],-0.10964758173112794
[-5.93670869e+00  7.78541257e-06],[-1.6979278],[9.40575040e-01 3.39585915e-01 7.78541257e-06],-0.12292873487363368
[ 6.54046284e+00 -2.29446321e-06],[-1.2722437],[ 9.67086288e-01  2.54448642e-01 -2.29446321e-06],-0.06781039443113189
[3.62069334e-01 1.06851984e-05],[-1.771048],[9.35165847e-01 3.54210161e-01 1.06851984e-05],-0.1342304265022642
[-5.99127793e+00  2.08546089e-06],[-1.4388964],[9.57696715e-01 2.87779433e-01 2.08546089e-06],-0.08728027662950665
[3.42976970e-01 5.69514009e-06],[-1.6814593],[9.41757708e-01 3.36292163e-01 5.69514009e-06],-0.12046031203414634
[ 2.38765481e-01 -1.49682694e-06],[-1.1825157],[ 9.71630683e-01  2.36503310e-01 -1.49682694e-06],-0.058407333982821025
[-5.96997792e+00  3.22631757e-06],[-1.5405575],[9.51350232e-01 3.08111563e-01 3.22631757e-06],-0.10047208273038467
[6.57451516e+00 9.05746940e-07],[-1.436131],[9.57862755e-01 2.87226291e-01 9.05746940e-07],-0.08693552631425715
[ 2.83803719e-01 -1.10956226e-06],[-1.4000462],[ 9.59997309e-01  2.80009226e-01 -1.10956226e-06],-0.08250471202600283
[-5.99790427e+00 -2.48666545e-06],[-1.4071357],[ 9.59582600e-01  2.81427137e-01 -2.48666545e-06],-0.08336537002254675
[6.60410389e+00 2.93222201e-06],[-1.577192],[9.48946062e-01 3.15438379e-01 2.93222201e-06],-0.10547617700885022
[-5.96208440e+00  2.65900733e-06],[-1.5780553],[9.48888533e-01 3.15611394e-01 2.65900733e-06],-0.1055959681885213
[ 2.72988296e-01 -2.72229893e-06],[-1.3480517],[ 9.62969522e-01  2.69610274e-01 -2.72229893e-06],-0.07633992726704461
[3.50461641e-01 6.28181240e-06],[-1.7166555],[9.39214317e-01 3.43331424e-01 6.28181240e-06],-0.1257700479794647
[6.59326601e+00 4.14960423e-06],[-1.5256768],[9.52308947e-01 3.05135495e-01 4.14960423e-06],-0.0984776055063522
[6.58013441e+00 1.61526453e-06],[-1.4630207],[9.56233643e-01 2.92604204e-01 1.61526453e-06],-0.09031915241868486
[12.21427405  0.18695548],[1.7679237],[ 0.93865174 -0.34486651  0.18695548],-0.1372639478949423
[-5.94732034e+00  4.60266291e-06],[-1.6479287],[9.44125583e-01 3.29585927e-01 4.60266291e-06],-0.11552078823128374
[-37.79189939  -1.75199999],[1.9999777],[ 0.99569832 -0.09265446 -1.75199999],-0.4235006406235912
[-5.97526523e+00  1.85058001e-06],[-1.5153854],[9.52966007e-01 3.03077202e-01 1.85058001e-06],-0.09711111236874381
[3.23911608e-01 2.51172910e-06],[-1.5913839],[9.47997698e-01 3.18277181e-01 2.51172910e-06],-0.10745115128098266
[6.59313144e+00 2.11987407e-06],[-1.5250376],[9.52350001e-01 3.05007337e-01 2.11987407e-06],-0.09839227965724462
[6.63997405e+00 7.52270093e-06],[-1.7463343],[9.37023240e-01 3.49267016e-01 7.52270093e-06],-0.13034762125179544
[6.59039156e+00 2.94767559e-06],[-1.5119833],[9.53182109e-01 3.02396870e-01 2.94767559e-06],-0.09666168436016875
[3.11106599e-01 7.17360351e-07],[-1.53056],[9.51995409e-01 3.06112301e-01 7.17360351e-07],-0.09912990754107202
[6.53861601e+00 5.56578141e-07],[-1.2633091],[9.67554562e-01 2.52662163e-01 5.56578141e-07],-0.06684078120549175
[-5.96576316e+00  3.79839406e-06],[-1.5605919],[9.50043168e-01 3.12118532e-01 3.79839406e-06],-0.1031921482246123
[ 2.65879250e-01 -2.33164716e-07],[-1.3137898],[ 9.64861844e-01  2.62757724e-01 -2.33164716e-07],-0.07241782556681807
[-5.93565437e+00  6.16809458e-06],[-1.7028859],[9.40216485e-01 3.40577395e-01 6.16809458e-06],-0.12367735848399054
[6.58624612e+00 1.22303998e-06],[-1.4922152],[9.54427484e-01 2.98442923e-01 1.22303998e-06],-0.0940725248078774
[3.46858454e-01 7.59277577e-06],[-1.6997237],[9.40445305e-01 3.39945038e-01 7.59277577e-06],-0.1231995845945409
[3.36438660e-01 4.49208187e-06],[-1.6506366],[9.43936345e-01 3.30127514e-01 4.49208187e-06],-0.1159154216677349
[-5.89407563e+00  3.63589008e-05],[-1.8968159],[9.25247182e-01 3.79364801e-01 3.63589008e-05],-0.15500284054535282
[3.50154099e-01 7.20931768e-06],[-1.715211],[9.39319861e-01 3.43042560e-01 7.20931768e-06],-0.12554958953499387
[6.59147660e+00 2.57493135e-06],[-1.5171539],[9.52853434e-01 3.03430937e-01 2.57493135e-06],-0.0973452003219847
[ 2.63678943e-01 -2.31291296e-06],[-1.3031702],[ 9.65437656e-01  2.60634098e-01 -2.31291296e-06],-0.07122489851073446
[2.88715486e-01 1.01492596e-07],[-1.4236063],[9.58610394e-01 2.84721112e-01 1.01492596e-07],-0.08538328391640548
[6.63181553e+00 5.96249273e-06],[-1.7080524],[9.39841526e-01 3.41610752e-01 5.96249273e-06],-0.12446026556264285
[ 2.80009250e-01 -1.54667942e-06],[-1.3818237],[ 9.61052882e-01  2.76364538e-01 -1.54667942e-06],-0.08031466000047117
[6.60390680e+00 4.62521611e-06],[-1.5762562],[9.49008213e-01 3.15251345e-01 4.62521611e-06],-0.10534671127220614
[-5.99232129e+00  7.25401402e-08],[-1.4339005],[9.57996451e-01 2.86780055e-01 7.25401402e-08],-0.08665794339253556
[-5.96850988e+00  2.20482698e-06],[-1.5475391],[9.50896887e-01 3.09507851e-01 2.20482698e-06],-0.10141543141945727
[6.62948270e+00 6.38936583e-06],[-1.6970854],[9.40635888e-01 3.39417333e-01 6.38936583e-06],-0.12280175903875896
[3.52588742e-01 6.88456694e-06],[-1.726641],[9.38481892e-01 3.45328449e-01 6.88456694e-06],-0.12729986769140542
[3.32440492e-01 5.31823704e-06],[-1.6317537],[9.45248703e-01 3.26350870e-01 5.31823704e-06],-0.11317912396397319
[6.63975200e+00 7.02340227e-06],[-1.745293],[9.37100772e-01 3.49058940e-01 7.02340227e-06],-0.13018560234451637
[-6.02242866e+00  1.25268623e-07],[-1.2890594],[9.66195183e-01 2.57811692e-01 1.25268623e-07],-0.06965569833686641
[-5.92113754e+00  8.76740896e-06],[-1.7709475],[9.35173485e-01 3.54189996e-01 8.76740896e-06],-0.13421452604418765
[3.32259122e-01 3.14875602e-06],[-1.6308961],[9.45307877e-01 3.26179425e-01 3.14875602e-06],-0.11305584147411636
[6.62284853e+00 5.21039870e-06],[-1.6658454],[9.42866925e-01 3.33169570e-01 5.21039870e-06],-0.11814596558409919
[-5.98693064e+00  5.11637072e-07],[-1.4596997],[9.56436608e-01 2.91940088e-01 5.11637072e-07],-0.08989753529676764
[-6.02269509e+00  1.76183325e-06],[-1.287771],[9.66263838e-01 2.57554259e-01 1.76183325e-06],-0.06951345970275134
[-5.94036694e+00  5.49041736e-06],[-1.6807121],[9.41811033e-01 3.36142794e-01 5.49041736e-06],-0.1203490385452842
[3.62828640e-01 8.92596397e-06],[-1.7745984],[9.34896624e-01 3.54920135e-01 8.92596397e-06],-0.13479349727213913
[3.32552134e-01 5.09650204e-06],[-1.6322802],[9.45212262e-01 3.26456397e-01 5.09650204e-06],-0.11325509117136455
[-5.95506366e+00  5.01124147e-06],[-1.6113254],[9.46649340e-01 3.22265459e-01 5.01124147e-06],-0.11026002225971132
[ 5.94357554e+00 -5.05889408e-05],[1.6655838],[ 9.42884733e-01 -3.33119169e-01 -5.05889408e-05],-0.11810724285125566
[-5.93395783e+00  6.07424986e-06],[-1.7108599],[9.39637328e-01 3.42172022e-01 6.07424986e-06],-0.12488666304696487
[-5.98869276e+00  1.38857892e-06],[-1.4512708],[9.56949557e-01 2.90254278e-01 1.38857892e-06],-0.08883200468718205
[ 6.56383476e+00 -1.04636377e-06],[-1.3848978],[ 9.60875755e-01  2.76979752e-01 -1.04636377e-06],-0.08068208751864298
[6.57082390e+00 1.32684659e-06],[-1.418444],[9.58916453e-01 2.83688627e-01 1.32684659e-06],-0.08474790586931359
[6.60818443e+00 4.42022951e-06],[-1.5965382],[9.47651007e-01 3.19307953e-01 4.42022951e-06],-0.10817321959117786
[-5.99966414e+00 -9.63202843e-07],[-1.3986895],[ 9.60076388e-01  2.79737966e-01 -9.63202843e-07],-0.08234061207801328
[19.29517885  0.15837078],[-1.9996071],[0.90234235 0.43102006 0.15837078],-0.19755522042443704
[6.61995677e+00 5.82506951e-06],[-1.652208],[9.43826426e-01 3.30441641e-01 5.82506951e-06],-0.11614461343914581
[2.9956704e-01 4.7880987e-07],[-1.4755334],[9.55464348e-01 2.95106556e-01 4.78809870e-07],-0.091917595811915
[-5.97565778e+00 -1.07798948e-07],[-1.5135145],[ 9.53084906e-01  3.02703091e-01 -1.07798948e-07],-0.09686391142713961
[6.63460249e+00 7.44762428e-06],[-1.7211423],[9.38885819e-01 3.44228730e-01 7.44762428e-06],-0.12645610855131248
[6.64330885e+00 1.02366522e-05],[-1.761947],[9.35853296e-01 3.52389854e-01 1.02366522e-05],-0.13279305481980483
[ 6.55535282e+00 -1.22571322e-06],[-1.3440984],[ 9.63190488e-01  2.68819798e-01 -1.22571322e-06],-0.07588179139175547
[3.48993357e-01 7.59687978e-06],[-1.709758],[9.39717412e-01 3.41952021e-01 7.59687978e-06],-0.12471937076895576
[-6.00104995e+00  1.35125379e-06],[-1.392036],[9.60463131e-01 2.78407210e-01 1.35125379e-06],-0.08153808347504574
[6.58646278e+00 2.66996945e-06],[-1.4932479],[9.54362800e-01 2.98649705e-01 2.66996945e-06],-0.09420693497401403
